Runde;Block;Gebot;Bietender
1;01A 2 GHz;5000000;Telekom
1;02A 2 GHz;5000000;Telekom
1;03A 2 GHz;5000000;Telekom
1;04A 2 GHz;5000000;Telekom
1;05A 2 GHz;5000000;Vodafone
1;06A 2 GHz;5000000;Vodafone
1;07A 2 GHz;25000000;1&1 Drillisch
1;08A 2 GHz;25000000;1&1 Drillisch
1;09A 2 GHz (2026);Kein Gebot;Kein Gebot
1;10A 2 GHz (2026);Kein Gebot;Kein Gebot
1;11A 2 GHz (2026);23750000;1&1 Drillisch
1;12A 2 GHz (2026);23750000;1&1 Drillisch
1;01K 3,6 GHz;Kein Gebot;Kein Gebot
1;02A 3,6 GHz;Kein Gebot;Kein Gebot
1;03A 3,6 GHz;Kein Gebot;Kein Gebot
1;04A 3,6 GHz;1700000;Vodafone
1;05A 3,6 GHz;1700000;Vodafone
1;06A 3,6 GHz;1700000;Vodafone
1;07A 3,6 GHz;1700000;Vodafone
1;08A 3,6 GHz;1700000;Vodafone
1;09A 3,6 GHz;Kein Gebot;Kein Gebot
1;10A 3,6 GHz;Kein Gebot;Kein Gebot
1;11A 3,6 GHz;1700000;Telefónica Deutschland
1;12A 3,6 GHz;1700000;Telefónica Deutschland
1;13A 3,6 GHz;1700000;Telefónica Deutschland
1;14A 3,6 GHz;1700000;Telefónica Deutschland
1;15A 3,6 GHz;1700000;Telefónica Deutschland
1;16A 3,6 GHz;1700000;Telefónica Deutschland
1;17A 3,6 GHz;1700000;Telefónica Deutschland
1;18A 3,6 GHz;1700000;Telefónica Deutschland
1;19A 3,6 GHz;1700000;Telefónica Deutschland
1;20A 3,6 GHz;1700000;Telekom
1;21A 3,6 GHz;1700000;Telekom
1;22A 3,6 GHz;1700000;Telekom
1;23A 3,6 GHz;1700000;Telekom
1;24A 3,6 GHz;21700000;1&1 Drillisch
1;25A 3,6 GHz;21700000;1&1 Drillisch
1;26A 3,6 GHz;21700000;1&1 Drillisch
1;27A 3,6 GHz;21700000;1&1 Drillisch
1;28A 3,6 GHz;21700000;1&1 Drillisch
1;29K 3,6 GHz;21700000;1&1 Drillisch
2;01A 2 GHz;5500000;Telefónica Deutschland
2;02A 2 GHz;5500000;Telefónica Deutschland
2;03A 2 GHz;5000000;Telekom
2;04A 2 GHz;5000000;Telekom
2;05A 2 GHz;5000000;Vodafone
2;06A 2 GHz;5000000;Vodafone
2;07A 2 GHz;27500000;Vodafone
2;08A 2 GHz;25000000;1&1 Drillisch
2;09A 2 GHz (2026);3750000;Telefónica Deutschland
2;10A 2 GHz (2026);3750000;Telefónica Deutschland
2;11A 2 GHz (2026);23750000;1&1 Drillisch
2;12A 2 GHz (2026);26125000;Vodafone
2;01K 3,6 GHz;Kein Gebot;Kein Gebot
2;02A 3,6 GHz;1700000;Telekom
2;03A 3,6 GHz;1700000;Telekom
2;04A 3,6 GHz;1700000;Vodafone
2;05A 3,6 GHz;1700000;Vodafone
2;06A 3,6 GHz;1700000;Vodafone
2;07A 3,6 GHz;1700000;Vodafone
2;08A 3,6 GHz;1700000;Vodafone
2;09A 3,6 GHz;1700000;Vodafone
2;10A 3,6 GHz;1700000;Vodafone
2;11A 3,6 GHz;1870000;Telekom
2;12A 3,6 GHz;1700000;Telefónica Deutschland
2;13A 3,6 GHz;1700000;Telefónica Deutschland
2;14A 3,6 GHz;1700000;Telefónica Deutschland
2;15A 3,6 GHz;1700000;Telefónica Deutschland
2;16A 3,6 GHz;1700000;Telefónica Deutschland
2;17A 3,6 GHz;1700000;Telefónica Deutschland
2;18A 3,6 GHz;1870000;Vodafone
2;19A 3,6 GHz;1870000;Vodafone
2;20A 3,6 GHz;1700000;Telekom
2;21A 3,6 GHz;1700000;Telekom
2;22A 3,6 GHz;1700000;Telekom
2;23A 3,6 GHz;1700000;Telekom
2;24A 3,6 GHz;21700000;1&1 Drillisch
2;25A 3,6 GHz;21700000;1&1 Drillisch
2;26A 3,6 GHz;21700000;1&1 Drillisch
2;27A 3,6 GHz;21700000;1&1 Drillisch
2;28A 3,6 GHz;21700000;1&1 Drillisch
2;29K 3,6 GHz;23870000;Telekom
3;01A 2 GHz;6050000;Telekom
3;02A 2 GHz;6050000;Telekom
3;03A 2 GHz;5000000;Telekom
3;04A 2 GHz;5000000;Telekom
3;05A 2 GHz;5000000;Vodafone
3;06A 2 GHz;5500000;1&1 Drillisch
3;07A 2 GHz;27500000;Vodafone
3;08A 2 GHz;25000000;1&1 Drillisch
3;09A 2 GHz (2026);3750000;Telefónica Deutschland
3;10A 2 GHz (2026);4125000;1&1 Drillisch
3;11A 2 GHz (2026);23750000;1&1 Drillisch
3;12A 2 GHz (2026);26125000;Vodafone
3;01K 3,6 GHz;Kein Gebot;Kein Gebot
3;02A 3,6 GHz;1700000;Telekom
3;03A 3,6 GHz;1700000;Telekom
3;04A 3,6 GHz;1700000;Vodafone
3;05A 3,6 GHz;1700000;Vodafone
3;06A 3,6 GHz;1700000;Vodafone
3;07A 3,6 GHz;1700000;Vodafone
3;08A 3,6 GHz;1700000;Vodafone
3;09A 3,6 GHz;1700000;Vodafone
3;10A 3,6 GHz;1700000;Vodafone
3;11A 3,6 GHz;1870000;Telekom
3;12A 3,6 GHz;1870000;Telekom
3;13A 3,6 GHz;1870000;Telekom
3;14A 3,6 GHz;1700000;Telefónica Deutschland
3;15A 3,6 GHz;1700000;Telefónica Deutschland
3;16A 3,6 GHz;1700000;Telefónica Deutschland
